address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,addresses_in_out,class
13kv7pPW6yqMRpuxdNHzQKwmJss9z8Bcti,28234963,36,235,6.295454545,831,132,8930.5,31609.04444,249281,0,2210.267792,2210.267792,16.74445297,2.659768702,2210.267792,3,0
122ehyPM3y7xFKyZGvtaS4P2yMwwgR3Aku,37497486,3,37,10,40,4,945445.5,945445.5,1669023,221868,36.53306583,36.53306583,9.133266458,0.913326646,36.53306583,0,0
1LHejBRLEuZC5BET5qAwKayikQLFxEnz5M,10178058,4,30,8,48,6,42604.5,53387.75,127794,548,53.97,53.97,8.995,1.124375,53.97,0,0
1LEXtwNzTNdJ3fcDoEtnx7wsYiCMeZdBfN,7099081,3,22,29,29,1,1784,1784,1784,1784,600000,1.68,0.06,0.057931034,1.68,0,0
14DGbFh4SqDF9dvddfjM5m9sic5GoRExVV,57393486,18,126,1.427184466,147,103,19171.5,188735.4194,3550979,0,171.6895429,171.6895429,1.666888766,1.167956074,171.6895429,3,0
1HbRBT4qCyLwALg6cHgfitruAe3NfpGpTD,3837914,2,37,4.375,35,8,52983,60670.4,99821,33584,52.63,52.63,6.57875,1.503714286,52.63,0,0
1Ht4rVg3b5nakVaa83fkbjcYqmEpJXTXq1,218434703,2,29,9.333333333,28,3,3534584,3534584,3534584,3534584,22.09636412,22.09636412,7.365454707,0.789155861,22.09636412,0,0
1ezt4auq8JtxA2jiv4QGKZAjVrCiUXV1F,3207223,3,22,4.333333333,26,6,8931,7252.5,13198,566,27.99,29.99,4.665,1.153461538,29.99,0,0
1GViH5ksvwfNnvKASB7wERXqbBAWk9PTmU,2080604,8,17,1.034482759,30,29,4676,13344.28571,132657,0,23.4397,23.4397,0.808265517,0.781323333,23.4397,0,0
1NiKtELYAkahfPdQdKiJnvUxdGuk7H2YK,198183388,4,81,1.875,75,40,7509,427171.6667,6468178,348,391.8254561,391.8254561,9.795636403,5.224339415,391.8254561,2,0
1EwnNdmmoeE5EbNgicLTQcjarpd7u9Fipb,69555656,4,21,1.416666667,17,12,39170.5,69905.33333,189137,19385,35.36770759,35.36770759,2.947308966,2.080453388,35.36770759,0,0
12wAbWDRCw88VepQUvJTuxPDA8ujANvbtH,201532878,4,74,7.636363636,84,11,43677,3253289.182,34551114,1028,164.3,164.5853303,14.93636364,1.95934917,164.5853303,0,0
1KeA6FdWZ7DZW3v22f77mGGHtpnoNxzQfW,8150411,3,20,1.125,18,16,1979,36997.46667,281022,343,26.00003112,26.00003112,1.625001945,1.444446173,26.00003112,0,0
14utochrw9krxWpw2KUnVGZho1gL1NExt3,702464,48,5,2.12,53,25,0,3526.633333,42819,0,13.39,13.39,0.5356,0.252641509,13.39,3,0
1KjP9b1tdeTv1u7b1pCPU81L7fJjNKqQR,6470507,5,57,1.848484848,61,33,3980,16396.11111,90260,224,1045.89,1045.89,31.69363636,17.1457377,1045.89,0,0
1NYwdDHVM3R7YRi4g3X3esgDW2PiwPnk77,5412990,3,23,1.470588235,25,17,3680,9986.25,51385,136,57.26,57.26,3.368235294,2.2904,57.26,0,0
1Ca7eaWMo1ot3C5DRGDwx92hNpFePUrpzy,64651322,4,117,18.45454545,203,11,61253,73987.85714,165529,14645,245.7391124,245.7391124,22.33991931,1.210537499,245.7391124,0,0
1nBr3Ag37jSbg3jMDuS6gmvcKA7f8xYoW,64165773,5,45,1.72,43,25,29172,74801.04546,317678,500,61.4630264,61.4630264,2.458521056,1.429372707,61.4630264,0,0
19m4ccSDQk975x5xBHSx3f7A8oAcDDcUEq,7123232,4,20,1,15,15,7059.5,28489.7,107320,337,53.91,53.91,3.594,3.594,53.91,0,0
1G1KpJzZxiZ3R6A5rHLC3hs9vjcaoUQkfa,14653928,6,78,6.111111111,110,18,59725,78978.38462,226788,2638,6650.16,6650.16,369.4533333,60.456,6650.16,0,0
1DhHwmGGGZPK6uQ1MLX71ZL17HWsT1A5ua,3078884,3,18,1,13,13,57851.5,58715.75,98930,20230,21.9,21.9,1.684615385,1.684615385,21.9,0,0
1PsACmccnGAYT9ee19SCFZHibQ98Z4HcNw,14179826,5,19,4.375,35,8,21526.5,21526.5,35509,7544,1.37,1.37,0.17125,0.039142857,1.37,0,0
1Nj5MeCo2Qyk97iBcvQvjaksLgNiRs7L5H,815148,7,10,1.045454545,23,22,1242,3252.619048,30135,227,79.41,79.41,3.609545455,3.452608696,79.41,0,0
1F35MvPKPSEc1L198dPR1weyXnkDG516fN,4247170,5,43,4.866666667,73,15,12801,35226.90909,95322,1646,74.27,74.27,4.951333333,1.01739726,74.27,0,0
1FoWjUkEAZVZeHvrhhxC87E4NMuLbffKzw,91492156,3,94,2.676470588,91,34,19297,152923.9677,2509688,325,212.539,212.539,6.251147059,2.335593407,212.539,0,0
1HYYrZfs2NRe4EkxQjYaBJezGEiSkFabjv,186000440,2,152,25.33333333,152,6,129838,129838,129838,129838,30.61,82.6,5.101666667,0.543421053,82.6,0,0
1EsSD5htpPEELgEWKJAJfAXRW1XpVKS7PC,7190444,9,26,1.03125,33,32,18989,37122.25,155614,0,1.7,1.7,0.053125,0.051515152,1.7,0,0
1A3HkarNN9f6PH5JdjUTE1gRsSuK1TwYfY,3280552,4,23,1.111111111,20,18,50975,62040.1,205270,2612,26.51386128,26.51386128,1.472992293,1.325693064,26.51386128,0,0
12ys4qSPDtKi9mgdFTxb57gZSBthNdPhFS,16955317,4,106,7.411764706,126,17,23379,82417.86667,618415,3312,166.0216752,166.0216752,9.765980894,1.317632343,166.0216752,0,0
1FCiddHMtH2uDN49z15ZJxLaZ3Z6gVvLn8,42393638,555,4,1.322147651,591,447,0,80.626482,17136,0,57.522059,57.522059,0.128684696,0.097330049,57.522059,1,0
122nTe2oVFHivrPTMmbFCDDG1it5Ms7se1,20257935,2,43,1.714285714,36,21,10412,85129.36842,932744,209,218.43,218.43,10.40142857,6.0675,218.43,0,0
15B8YDtb8AUvSKmWXDaQ44ox6sjLoamM1e,14061589,18,110,1.601449275,221,138,15591.5,25347.97619,201627,0,1129.381306,1129.381306,8.183922508,5.110322652,1129.381306,0,0
17sKq9t2ZHoc1JiyfGENAKwhQgUgZvsxSR,189104216,2,36,3.625,29,8,348047,348047,651948,44146,40.64,40.64,5.08,1.40137931,40.64,0,0
17xmF7ZSUhM2PY9AqzT3oWeqeorUKiFBda,794201,8,8,5.8,29,5,858,20961.33333,61836,190,4.15,4.15,0.83,0.143103448,4.15,0,0
1LekJj3LY6QuybMJ638qcvyTMftiPS6XBD,62909865,179,7,5.479166667,263,48,0,564425.7207,62524134,0,29.16276668,29.16276668,0.60472842,0.110368685,29.02696418,13,0
1CCAY1z6Hqq52E1UcWe3bd9WioSJYJKoD2,29259058,3,33,1.933333333,29,15,120247,119661.8333,188127,52543,44.94006111,44.94006111,2.996004074,1.54965728,44.94006111,0,0
13a3ir2AkXqVa6SNFu3fUCddvcH17sMwEu,118852515,10,92,102.6666667,308,3,40983,40983,40983,40983,3.52591187,32.64446111,1.175303957,0.10598851,32.64446111,0,0
1FnhnhZxukuvhCUdrLoCydh7c2hweS9vqU,6793074,4,18,1.285714286,18,14,2889,25298.09091,177544,298,232.25,232.25,16.58928571,12.90277778,232.25,0,0
12ZgoTPpWoL4fZiGA6LTpb77NcBAF5p842,181955373,6,42,14.57142857,102,7,8098.5,8098.5,11235,4962,20.8963143,20.8963143,2.959685921,0.2031157,20.71780145,0,0
1DtfkVjwaGzav1c4ZMCYfpexPif9JL9WZD,215365143,4,35,6.285714286,44,7,58271,11686825.17,69849667,0,57.36,66.69000002,8.194285714,1.515681819,66.69000002,0,0
1Ea6jwAVDgUohKHXcMFE3sRWYmDPzfVR4a,32527375,2,52,8.333333333,50,6,28008,731777.25,2854592,16501,18.9,18.9,3.15,0.378,18.9,0,0
18oHtAN5KMGm32A2EoSiybk81oHZLZXeBj,55385381,11,70,14.58333333,175,12,16846.5,29273,73893,3926,218.5904,218.5904,18.21586667,1.249088,218.5904,0,0
1Cbr8Kt8bznR3WjunfQ5Z5RyRGT63ou3Ay,10625652,2,46,2.923076923,38,13,92587,109032.4,279731,26456,50.08,50.08,3.852307692,1.317894737,50.08,0,0
151oXRuzhw8K3dQaXCCXbLZ6gCTKPxus8t,6416021,5,40,2.125,34,16,82081,86416.8,258821,3149,91.9812,91.9812,5.748825,2.705329412,91.9812,0,0
16VHtRfxx8k7CqC6bnXNZhMbmgwsad9D1a,17091403,3,78,4.823529412,82,17,9228,21686.875,107118,848,46.47,46.47,2.733529412,0.566707317,46.47,0,0
1AjM7fvtZz7Si2rEjPLfdD7461p5hGzn1H,6669526,22,63,54.83333333,658,12,3978,117201.375,867903,494,145.08,145.08,12.09,0.220486322,145.08,0,0
18fzBQCSS3bfwct9PRNb15B1QP5QZpER6H,106803171,3,15,1.076923077,14,13,4212823.5,8337366.167,23691065,3903,2366.4519,2366.4519,182.0347615,169.0322786,2366.4519,5,0
15byuD7pWL6vboxLDQ9RXFf1533ZpHNBNG,211549340,2,94,7,84,12,279519,4642487.714,14520588,5705,86.099,87.109,7.174916667,1.037011905,87.109,0,0
1H1HPtjtffaQBz9UsGh3M53f4AyWGhe2eT,155100639,5,25,5.142857143,36,7,28570,28570,28570,28570,30.87,30.87,4.41,0.8575,30.87,0,0
1F4XpKERxn426KquCavNmcRxokz6gaaxQK,98743308,5,56,8.75,70,8,79227,89271,166879,3874,71.54,71.54,8.9425,1.022,71.54,0,0
1GDN7PKf7t427dcPU7mXZjPzresga3MHpA,38182120,4,57,2.476190476,52,21,83083,88153.36364,252705,0,22.49451539,22.49451539,1.0711674,0.432586834,22.49451539,0,0
1HMus71jpU8PGgcSStdoJ9PPsBACayHNQT,2400043,13,27,1.021276596,48,47,9943,12231.18519,35111,0,13.25,13.25,0.281914894,0.276041667,13.25,0,0
1CT72AtXDs4y6ikE13FUBCSkbZhjxuYapU,163551623,6,22,1.714285714,24,14,720887,2994526.2,11736681,0,1.38023751,1.38505843,0.098588394,0.057710768,1.38505843,5,0
1Hbdkf5BqsBPjBnjmdCTLiyngZuXeVxo89,5382760,21,58,41.875,670,16,3645,4095.777778,10463,980,261.49,261.49,16.343125,0.390283582,261.49,0,0
1GeHMwBRdMgQYeq43qCLNSdfHdkNssBon,5659496,4,25,1,25,25,12600,15857.09524,70593,1501,60.40591847,60.40591847,2.416236739,2.416236739,60.40591847,0,0
1iKoLd3bUrXtsh8tkTRYpW8mwJMRa973J,2143862,8,8,8,24,3,52203,36670.66667,55821,1988,3.65780805,4.69648,1.21926935,0.195686667,4.69648,0,0
1GhpPWuoYFk6tyB7oEe94QssgU6D9sWyVd,4043133,12,10,1,23,23,11341.5,11341.5,15578,7105,14.27,14.27,0.620434783,0.620434783,14.27,0,0
1BubynasDadHrs6eSuNuVgi3w1JQzD3oZT,9569768,3,20,2.111111111,19,9,11164,19039.875,64122,1403,22.33837954,22.33837954,2.482042171,1.175704186,22.33837954,0,0
18mbgyvSWozA1k7aE7XBGus4w73xs2yTqs,9593743,3,28,1,21,21,55478,108528.1429,401873,17364,34.837,34.837,1.658904762,1.658904762,34.837,0,0
1PfSnNKTdKVCb4n4NLJLUN7Fip79KvotZW,22009710,16,61,24.8,248,10,16505,134509.8,322459,3683,59.63547634,59.63547634,5.963547634,0.24046563,59.63547634,0,0
16FuTPaeRSPVxxCnwQmdyx2PQWxX6HWzhQ,7954719,16,23,1.818181818,40,22,39325,111504.5882,360877,0,139.11,139.11,6.323181818,3.47775,139.11,10,0
1JGnq6TqWybkoHZJ93nUiQQAEGJ5rucAeJ,84553384,10,27,2.142857143,45,21,1900,629462.1333,8825526,0,18.95877579,18.95877579,0.902798847,0.421306129,18.95877579,0,0
19oZVzd3b6ptxbBncTusRkq6VMivXNqCsS,2077905,6,20,1.148148148,31,27,13704,15534.07692,41106,193,43.81,43.81,1.622592593,1.413225806,43.81,0,0
16FDvRGtRdQRsumspAY1mg6gqDQZZTtr84,939461,16,11,3.230769231,42,13,2646,3321.75,8398,268,7.75,7.75,0.596153846,0.18452381,7.75,0,0
1EhnSN7Lw8zaKyps7CoWLK99Jqpnj6PU89,183099783,12,131,2.2625,181,80,48160,343570.9818,6286473,0,65.77347361,65.77347361,0.268937111,0.118867231,21.51496884,6,0
1Am2dJwMxKMcooRUZzADq1yxR46SATTymD,19951839,3,35,4.714285714,33,7,92598,145171.3333,377144,22225,337.65,337.65,48.23571429,10.23181818,337.65,0,0
1CEQRKxXCEuWL7M9oDdCstGrrw7L6v4PdQ,10456026,3,24,2,20,10,4440,506058.3333,2330086,0,5.5,5.5,0.55,0.275,5.5,0,0
1AzCNpvKbap3oTcdu7xPiDKYrqWPnKdcKa,5381100,20,60,1.080357143,121,112,8244,15679.29688,82791,49,507.57,507.57,4.531875,4.194793388,507.57,0,0
1PBBJoaYQUBhfhcrcrNy12dzs4Nw7U4ofz,114768273,23,224,41.04347826,944,23,34869,62308.125,247405,0,0.34742345,0.34742345,0.015105367,0.000368033,0.34742345,1,0
1JXt6mcQKLk5CWmLrwW3hkE7tiJc4sg4AW,119666775,7,27,1.32,33,25,2703,15934.78261,111270,0,43.00331399,43.00331399,1.72013256,1.303130727,43.00331399,2,0
1HZYXDYDqyiaJBMveo6G9QGbYXuv8RRjv6,8133596,9,77,1.037037037,84,81,22410,30535.98148,86830,1189,593.7208243,593.7208243,7.32988672,7.068105051,593.7208243,1,0
18YZ8QyGKRQP8PqLsi5uanMRoLF94qoa2S,473711,30,5,1.047619048,22,21,3251,6606.818182,38714,0,270.1,270.1,12.86190476,12.27727273,270.1,7,0
16ZVzsqxwHCq16WzTKJmpmuYh3ic6WiWkv,2760141,8,9,25,25,1,37633,37633,37633,37633,0.69082547,0.9589082,0.69082547,0.038356328,0.9589082,0,0
16AdU9fjvb5EEFbam8ae2eGseTdCUxd7pm,70907298,9,414,8.035294118,683,85,23935.5,40558.51191,253017,0,329.0434319,329.6806668,3.871099198,0.482694973,329.6806668,0,0
17C1JdyuQ6ykQ3AJYsBYNtc92pnggD1ixZ,60081826,2,27,6.25,25,4,118097,118097,175176,61018,1.74904114,1.74904114,0.437260285,0.069961646,1.74904114,0,0
1JuiqMVyDVovkqsGaYkGJuJUQuPQm6YxUs,4881918,4,29,1.6875,27,16,67954,68668.33333,211703,5761,73.48,73.48,4.5925,2.721481481,73.48,0,0
1DdmdgYrgYYSTHqRw2PB75xH5UwgAKh8d4,13708244,8,82,96,192,2,9226,9226,9226,9226,35.30024563,35.87747422,17.65012282,0.186861845,35.87747422,0,0
13uHRaBHWpjxnYMSkKVJ3Xc1FtZ8bnKv4k,26897692,4,26,1,21,21,16834,46523,367476,3453,33.85,33.85,1.611904762,1.611904762,33.85,0,0
1FjP7keMq8vgyi2b7pDeAH4RRJhMCJvbUi,1417087,7,17,3.571428571,50,14,14682,14934.18182,27683,4070,61.3,61.3,4.378571429,1.226,61.3,0,0
1CydT7ejjrzELkprjJp6pCZrcN27WuoFdF,200582909,2,45,2.0625,33,16,231126.5,9574963,56550450,12063,553.7855424,553.7855424,34.6115964,16.78138007,553.7855424,0,0
1D1ZMYEq8RFs5Dd7E2xM6i9N3n33sUxsNS,8000665,15,11,2.615384615,34,13,4550,53753.375,402594,791,57.94,57.94,4.456923077,1.704117647,57.94,0,0
1QBEiWBG8a356f2r6XyD258PW4EirP2PDF,15116682,10,55,1.622222222,73,45,3405,15368.36364,91157,0,21.79836801,21.79836801,0.484408178,0.298607781,21.79836801,0,0
1MUNRzU8VF1NSdM39uP9SBY5bVWazNwyYq,4056236,7,19,1.318181818,29,22,45853,43614.75,72981,4917,3755.72,3755.72,170.7145455,129.5075862,3755.72,1,0
1DZAZEgdXi3mwDnY6DSoHV5K4t7ZhG6Avg,116062347,3,253,1.179310345,171,145,57417.5,104000.3264,3734177,967,195.3348,195.3348,1.347136552,1.142308772,195.3348,0,0
1AZch9RgNZJZTVBJSd8Q8bbWSTKAbdQQ2f,4150968,4,35,4.75,38,8,5703,53218.2,157406,1158,40.04,40.04,5.005,1.053684211,40.04,0,0
1CkMWHRY1PqEHw36HzTC4GF9ABZZNYsWeD,7107040,7,22,1.083333333,26,24,6381,15062.53846,63166,1756,129.45,129.45,5.39375,4.978846154,129.45,0,0
1AJRz6Cw7PuMMUR2j62T3vu82bo18oYWy3,64583037,25,53,3.347826087,77,23,0,138091.1875,2140812,0,4.60379425,4.60379425,0.200164967,0.059789536,4.60379425,5,0
1GLi3UotDDcgMJBzZ1gX7gtEsdfQbta16o,232137968,13,33,1.520833333,73,48,15978,31520.625,160477,189,120.6992886,120.6994641,2.514568512,1.653417316,120.699464,0,0
1PPrSSDg8eswL2VsaHZiHWurLj7Xi15a1c,35163935,9,54,1.277777778,69,54,21354,60285.63333,324535,0,2080.23007,2080.23007,38.52277907,30.14826188,2080.23007,1,0
1FPG3vjdg5bmZMeUorMGmwAouL9cxQqdaP,3556604,4,16,1,15,15,24355,44904.23077,176021,1741,0.18,0.18,0.012,0.012,0.18,0,0
1EBPBQpoZtHK1g6HYDhK7YU3Npfs7r9cW3,147827522,11,103,123.5,247,2,117446,117446,117446,117446,12.00175309,12.00175309,6.000876545,0.048590093,12.00175309,0,0
1MSGtq44fDH6z6Asy5PGpEUZcnVf4PW48y,1189937,32,15,102.5,205,2,5524.5,5524.5,8328,2721,10.38,10.39,5.19,0.050682927,10.39,0,0
13PKp5X9Po1v33tccyMHqh5Kkevnhddjrz,37817083,4,55,2.55,51,20,189509.5,303249.3571,1309308,5442,601.733301,601.733301,30.08666505,11.79869218,601.733301,1,0
15w27GaUxP8Rru94z21JsVfFWhBFSh1uvT,6137722,4,67,3.130434783,72,23,1724.5,10540.05,74538,291,144.9537462,144.9537462,6.30233679,2.013246474,144.9537462,0,0
1LofcagFrDmkFYtwAHhppVWPANdL2Yk36T,9921439,4,15,1.076923077,14,13,20743,126847.2857,604121,1971,9374.92,9374.92,721.1476923,669.6371429,9374.92,0,0
19RUqHfp1CnXQzch1D4VXsewLKybt9EhE2,3246421,4,13,1,14,14,1568.5,3162.5,10302,531,390.67,390.67,27.905,27.905,390.67,0,0
12ypPcj6C7ocTYji3tRKnLVLSfiVN9hqMk,34211611,10,49,9.8,147,15,12400.5,12400.5,12578,12223,100.735504,100.735504,6.715700267,0.685275537,100.735504,0,0
1Fw5fLzSBDgUxRuGaQKLddJrrhkxGfXFpn,85814202,3,743,15.33333333,782,51,47167,47680.69767,97511,2483,295.48,295.48,5.79372549,0.377851662,295.48,0,0
